編號,成語,注音,用法說明-語義說明,近義成語,反義成語,參考詞語,主條成語／非主條成語
105,世外桃源,ㄕˋ　ㄨㄞˋ　ㄊㄠˊ　ㄩㄢˊ,比喻風景優美而人跡罕至的地方。＆比喻心目中理想的世界。,人間仙境、洞天福地、蓬萊仙境、人間仙境、洞天福地、烏托邦、蓬萊仙境,人間地獄,武陵世外,主條成語
106,剛愎自用,ㄍㄤ　ㄅㄧˋ　ㄗˋ　ㄩㄥˋ,形容性情倔強，固執己見。貶義。,一意孤行、自以為是、自矜自是、固執己見、師心自用、獨斷專行,不恥下問、從善如流、從諫如流、虛懷若谷,剛愎自任、剛戾自用、剛褊自用、專愎自用、強愎自用、愎過自用,主條成語
107,出爾反爾,ㄔㄨ　ㄦˇ　ㄈㄢˇ　ㄦˇ,比喻人的言行前後反覆，自相矛盾。貶義。,一報還一報、反覆無常、自食其言、言而無信、朝三暮四,一言既出、駟馬難追、一言為定、一諾千金、言行一致、言而有信、說一不二,出乎反乎,主條成語
108,目不識丁,ㄇㄨˋ　ㄅㄨˋ　ㄕˋ　ㄉㄧㄥ　（變）　ㄇㄨˋ　ㄅㄨˊ　ㄕˋ　ㄉㄧㄥ,比喻不識字或毫無學問。,不識之無、目不知書、胸無點墨,知書識禮、滿腹經綸、學富五車、識文斷字,一丁不識、不識一丁、不識丁、未識一丁、目不識字、眼不識丁,主條成語
109,水深火熱,ㄕㄨㄟˇ　ㄕㄣ　ㄏㄨㄛˇ　ㄖㄜˋ,比喻處境非常艱困、痛苦。,,安和樂利、安居樂業,水深火烈、水火深熱、火熱水深,主條成語
110,假公濟私,ㄐㄧㄚˇ　ㄍㄨㄥ　ㄐㄧˋ　ㄙ,假借公家的名義以謀取個人的私利。,營私舞弊,公而忘私、洗手奉職、涓滴歸公、廉潔奉公,借公濟私、假公營私、因公假私、因公行私、託公報私,主條成語
111,孤掌難鳴,ㄍㄨ　ㄓㄤˇ　ㄋㄢˊ　ㄇㄧㄥˊ,比喻人孤立無助，不能成事。,獨木難支,眾志成城、眾擎易舉,,主條成語
112,偃旗息鼓,ㄧㄢˇ　ㄑㄧˊ　ㄒㄧˊ　ㄍㄨˇ,軍隊放倒旌旗，停止戰鼓。形容不露行蹤。＆比喻事情中斷或聲勢減弱。,偃兵息甲、鳴金收兵、銷聲匿跡、銷聲匿跡,大張旗鼓、重整旗鼓,偃旗臥鼓、卷旗息鼓、息鼓偃旗、掩旗息鼓、臥旗息鼓、臥鼓偃旗,主條成語
113,妄自尊大,ㄨㄤˋ　ㄗˋ　ㄗㄨㄣ　ㄉㄚˋ,狂妄地自尊自大。貶義。,不可一世、心高氣傲、目中無人、自命不凡、自高自大、狂妄自大、夜郎自大,妄自菲薄、自輕自賤、屈己待人、謙恭有禮,妄尊自大、妄稱尊大、妄自尊,主條成語
114,百折不撓,ㄅㄞˇ　ㄓㄜˊ　ㄅㄨˋ　ㄋㄠˊ,意志剛強，即使受到許多挫折，仍不屈服。,不屈不撓、堅忍不拔、屢敗屢戰,一蹶不振、半途而廢,百折不回、百折不磨、百挫不折,主條成語
115,拾人牙慧,ㄕˊ　ㄖㄣˊ　ㄧㄚˊ　ㄏㄨㄟˋ,比喻蹈襲他人的言論或主張。貶義。,人云亦云、拾人涕唾,自成一家、別出心裁、獨到之見、獨樹一幟、獨闢蹊徑,拾人牙後、襲人牙後、襲人牙慧,主條成語
116,耳濡目染,ㄦˇ　ㄖㄨˊ　ㄇㄨˋ　ㄖㄢˇ,經常聽到、看到而深受影響。,潛移默化,,目擩耳染、目染耳濡、耳染目濡、耳目濡染,主條成語
117,得心應手,ㄉㄜˊ　ㄒㄧㄣ　ㄧㄥˋ　ㄕㄡˇ,比喻技藝熟練，運用自如。＆比喻做事順利。,如臂使指、左右逢源,力不從心、心有餘而力不足、心餘力絀,得手應心、心手相應、應手從心,主條成語
118,乘風破浪,ㄔㄥˊ　ㄈㄥ　ㄆㄛˋ　ㄌㄤˋ,順著風，破浪前進。＆比喻人志向遠大，不畏艱難，奮勇前進。,披荊斬棘,畏縮不前、胸無大志、裹足不前,破浪乘風、長風破浪,主條成語
119,杯水車薪,ㄅㄟ　ㄕㄨㄟˇ　ㄐㄩ　ㄒㄧㄣ,比喻力量太小，無濟於事。,於事無補、無濟於事,不無小補、大有助益,杯水輿薪,主條成語
120,車載斗量,ㄔㄜ　ㄗㄞˋ　ㄉㄡˇ　ㄌㄧㄤˊ,形容數量很多，不可勝數。,比比皆是、不計其數、汗牛充棟、多如牛毛、恆河沙數,屈指可數、碩果僅存、寥寥無幾、鳳毛麟角,斗量車載、載量車斗,主條成語
121,滿城風雨,ㄇㄢˇ　ㄔㄥˊ　ㄈㄥ　ㄩˇ,形容到處颳風下雨的景象。＆指事情一經傳出，便流言四起，到處議論紛紛。,議論紛紛,,風雨滿城,主條成語
122,燃眉之急,ㄖㄢˊ　ㄇㄟˊ　ㄓ　ㄐㄧˊ,形容事態嚴重，情況危急。,十萬火急、火燒眉毛、刻不容緩、迫不及待、急如星火、迫在眉睫、當務之急,不急之務,燒眉之急,主條成語
123,言不由衷,ㄧㄢˊ　ㄅㄨˋ　ㄧㄡˊ　ㄓㄨㄥ,心口不一，虛應敷衍。,口是心非、心口不一,心口如一、言為心聲、言由衷發、肺腑之言,信不由中、信不由衷、言不由中、言由衷發、道不由衷,主條成語
124,敝帚自珍,ㄅㄧˋ　ㄓㄡˇ　ㄗˋ　ㄓㄣ,比喻東西雖不好，卻因為是自己所擁有，故非常珍視。,敝屣自珍,視若草芥、棄如敝屣,享帚自珍、千金敝帚、弊帚千金、弊帚自珍、敝帚千金,主條成語
125,兔死狗烹,ㄊㄨˋ　ㄙˇ　ㄍㄡˇ　ㄆㄥ,比喻事成之後，有功之人即遭到殺戮或見棄的命運。,忘恩負義、卸磨殺驢、鳥盡弓藏、過河拆橋,論功行賞,?盡盧烹,主條成語
126,拋磚引玉,ㄆㄠ　ㄓㄨㄢ　ㄧㄣˇ　ㄩˋ,比喻自己先發表粗陋的詩文或不成熟的意見，以引出別人的佳作或高論。多用作自謙之詞。＆比喻以身作則，引發眾人響應。,,,引玉拋磚、投礫引珠,主條成語
127,門庭若市,ㄇㄣˊ　ㄊㄧㄥˊ　ㄖㄨㄛˋ　ㄕˋ,比喻上門來的人很多。,戶限為穿、車馬盈門、絡繹不絕,門可羅雀、門庭冷落,門前如市、門庭如市,主條成語
128,不倫不類,ㄅㄨˋ　ㄌㄨㄣˊ　ㄅㄨˋ　ㄌㄟˋ　（變）　ㄅㄨˋ　ㄌㄨㄣˊ　ㄅㄨˊ　ㄌㄟˋ,形容事物不成體統。貶義。,不三不四、非驢非馬,,,主條成語
129,虎頭蛇尾,ㄏㄨˇ　ㄊㄡˊ　ㄕㄜˊ　ㄨㄟˇ,比喻做事有始無終。貶義。,有始無終、有頭無尾,全始全終、有始有終、有頭有尾、首尾一貫、貫徹始終,虎頭鼠尾、龍頭蛇尾,主條成語
130,空中樓閣,ㄎㄨㄥ　ㄓㄨㄥ　ㄌㄡˊ　ㄍㄜˊ,比喻虛構的事物或不切實際的幻想。,鏡花水月、虛無縹緲、海市蜃樓、夢幻泡影,,,主條成語
131,天經地義,ㄊㄧㄢ　ㄐㄧㄥ　ㄉㄧˋ　ㄧˋ,天地間原本如此而不容改變的道理。,不移至理、金科玉律、理所當然,,,主條成語
132,殺身成仁,ㄕㄚ　ㄕㄣ　ㄔㄥˊ　ㄖㄣˊ,指為正義或崇高的理想而犧牲生命。,成仁取義、捨生取義、捨身求法,降志辱身、苟且偷生,殺身成義,主條成語
133,心猿意馬,ㄒㄧㄣ　ㄩㄢˊ　ㄧˋ　ㄇㄚˇ,心意反覆不定。＆心思不專注集中。,心不在焉、心神不定、三心二意、反覆不定、見異思遷,一心一意、之死靡它、全心全意、全神貫注、專心致志、聚精會神,心?意馬、情?意馬、意馬心猿,主條成語
134,一視同仁,ㄧ　ㄕˋ　ㄊㄨㄥˊ　ㄖㄣˊ　（變）　ㄧˊ　ㄕˋ　ㄊㄨㄥˊ　ㄖㄣˊ,指平等待人，不分親疏厚薄。,貴賤無二,另眼相看、厚此薄彼,一視之仁,主條成語
135,雪中送炭,ㄒㄩㄝˇ　ㄓㄨㄥ　ㄙㄨㄥˋ　ㄊㄢˋ,比喻在人艱困危急之時，給予適時的援助。,急人之難、寒中送衣,趁火打劫、落井下石、錦上添花,雪中之炭、雪裡送炭,主條成語
136,甘拜下風,ㄍㄢ　ㄅㄞˋ　ㄒㄧㄚˋ　ㄈㄥ,表示自認不如，由衷佩服。,心悅誠服、五體投地、首肯心折,不甘示弱、不甘雌伏,拜下風、甘伏下風、願拜下風,主條成語
137,無地自容,ㄨˊ　ㄉㄧˋ　ㄗˋ　ㄖㄨㄥˊ,形容羞愧至極。,,問心無愧、理直氣壯,無以自容、無地可容、無地自厝、無地自處、無穴可入、置身無地,主條成語
138,群策群力,ㄑㄩㄣˊ　ㄘㄜˋ　ㄑㄩㄣˊ　ㄌㄧˋ,聚合眾人的智慧和能力。,同心協力、畢力同心、戮力同心,一意孤行、孤行己見、孤軍作戰、單打獨鬥、單槍匹馬、獨斷專行,,主條成語
139,過河拆橋,ㄍㄨㄛˋ　ㄏㄜˊ　ㄔㄞ　ㄑㄧㄠˊ,比喻不念舊情，忘恩負義。貶義。,忘恩負義、兔死狗烹、卸磨殺驢、鳥盡弓藏,投桃報李、沒齒不忘、結草銜環、感恩圖報、感恩戴德,過橋抽板、過橋拆橋,主條成語
140,有備無患,ㄧㄡˇ　ㄅㄟˋ　ㄨˊ　ㄏㄨㄢˋ,事先有準備，即可免除後患。,未雨綢繆、曲突徙薪、防患未然、居安思危,江心補漏、臨陣磨槍、臨渴掘井,,主條成語
141,裹足不前,ㄍㄨㄛˇ　ㄗㄨˊ　ㄅㄨˋ　ㄑㄧㄢˊ,形容有所顧忌，而停止腳步，不敢向前。,畏縮不前、停滯不前、躊躇不前,一往無前、勇往直前,裹足不進,主條成語
142,前倨後恭,ㄑㄧㄢˊ　ㄐㄩˋ　ㄏㄡˋ　ㄍㄨㄥ,比喻待人勢利，態度轉變迅速。貶義。,,始終如一,前倨後卑、後恭前倨,主條成語
143,弄巧成拙,ㄋㄨㄥˋ　ㄑㄧㄠˇ　ㄔㄥˊ　ㄓㄨㄛˊ,比喻枉費心機。,畫蛇添足,,弄巧反拙、弄巧翻拙,主條成語
144,噤若寒蟬,ㄐㄧㄣˋ　ㄖㄨㄛˋ　ㄏㄢˊ　ㄔㄢˊ,比喻不敢說話。,杜口結舌、緘口結舌,直言不諱,噤如秋蟬、自同寒蟬,主條成語
145,戰戰兢兢,ㄓㄢˋ　ㄓㄢˋ　ㄐㄧㄥ　ㄐㄧㄥ,形容戒慎恐懼的樣子。,小心翼翼、如履薄冰、如臨深淵、朝乾夕惕、誠惶誠恐、臨深履薄,,,主條成語
146,瓜田李下,ㄍㄨㄚ　ㄊㄧㄢˊ　ㄌㄧˇ　ㄒㄧㄚˋ,比喻容易引起懷疑的場合。,薏苡之謗,,李下瓜田、瓜李之嫌,主條成語
147,借花獻佛,ㄐㄧㄝˋ　ㄏㄨㄚ　ㄒㄧㄢˋ　ㄈㄛˊ,比喻借用他人的東西來作人情。,順水人情、慷他人之慨,,,主條成語
148,故步自封,ㄍㄨˋ　ㄅㄨˋ　ㄗˋ　ㄈㄥ,安於現狀，不求進取。貶義。,一成不變、因循守舊、抱殘守缺、陳陳相因、畫地自限、墨守成規,不主故常、日新月異、勇猛精進、推陳出新,故步不離,主條成語
149,笑裡藏刀,ㄒㄧㄠˋ　ㄌㄧˇ　ㄘㄤˊ　ㄉㄠ,比喻人外貌和善可親，內心卻陰險狠毒。貶義。,口蜜腹劍、佛口蛇心、笑面夜叉、綿裡藏針,心口如一,笑中有刀、笑裡刀,主條成語
150,望塵莫及,ㄨㄤˋ　ㄔㄣˊ　ㄇㄛˋ　ㄐㄧˊ,比喻遠遠落在他人之後。,不可企及、瞠乎其後、難望項背,一馬當先、並駕齊驅、迎頭趕上、後來居上,望塵不及、望塵靡及,主條成語
151,水到渠成,ㄕㄨㄟˇ　ㄉㄠˋ　ㄑㄩˊ　ㄔㄥˊ,比喻事情自然發展，結果自成。＆比喻事情條件完備則自然成功，不須強求。,瓜熟蒂落、迎刃而解,,,主條成語
152,半途而廢,ㄅㄢˋ　ㄊㄨˊ　ㄦˊ　ㄈㄟˋ,比喻做事情有始無終。,中道而廢、半途自畫、有始無終,有始有終、持之以恆、堅持不懈、貫徹始終、鍥而不舍,半塗而廢、半塗而罷,主條成語
153,一籌莫展,ㄧ　ㄔㄡˊ　ㄇㄛˋ　ㄓㄢˇ　（變）　ㄧˋ　ㄔㄡˊ　ㄇㄛˋ　ㄓㄢˇ,比喻毫無辦法。,束手無策、無計可施,胸有成竹,一籌不吐、一籌不畫、半籌不展、半籌不納、莫展一籌,主條成語
154,抱薪救火,ㄅㄠˋ　ㄒㄧㄣ　ㄐㄧㄡˋ　ㄏㄨㄛˇ,比喻用錯方法，而致禍害加深。貶義。,火上加油、以火救火、揚湯止沸,釜底抽薪,抱薪救焚、負薪救火,主條成語
155,大器晚成,ㄉㄚˋ　ㄑㄧˋ　ㄨㄢˇ　ㄔㄥˊ,比喻卓越的人才往往成就較晚。,,小時了了,大才晚成、晚成大器,主條成語
156,莫逆之交,ㄇㄛˋ　ㄋㄧˋ　ㄓ　ㄐㄧㄠ,心意相投的朋友。,刎頸之交、金石之交、管鮑之交,一面之交、泛泛之交、酒肉朋友、點頭之交,莫逆之友、莫逆之契、莫逆交、莫逆友,主條成語
157,芒刺在背,ㄇㄤˊ　ㄘˋ　ㄗㄞˋ　ㄅㄟˋ,比喻因畏忌而極度不安。,如坐針氈、坐立不安,心安神泰、行若無事、若無其事、氣定神閒、泰然自若,如芒刺背、如芒在背、背生芒刺、背若芒刺、芒刺在躬,主條成語
158,按圖索驥,ㄢˋ　ㄊㄨˊ　ㄙㄨㄛˇ　ㄐㄧˋ,比喻做事拘泥成法，呆板不知變通。 ＆比喻按照所掌握的線索辦事。,刻舟求劍、墨守成規、膠柱鼓瑟、按跡循蹤、順藤摸瓜,大海撈針、無跡可尋,按圖索駿,主條成語
159,強弩之末,ㄑㄧㄤˊ　ㄋㄨˇ　ㄓ　ㄇㄛˋ,比喻原本強大的力量已經衰竭，不能再發揮效用。,,所向披靡、所向無敵、銳不可當,強弩末、彊弩之末,主條成語
160,一網打盡,ㄧ　ㄨㄤˇ　ㄉㄚˇ　ㄐㄧㄣˋ　（變）　ㄧˋ　ㄨㄤˇ　ㄉㄚˇ　ㄐㄧㄣˋ,用網子全部抓住。＆比喻排斥異己，不留孑遺。,一掃而空、誅殛滅絕,網開一面,一網無遺,主條成語
161,蜀犬吠日,ㄕㄨˇ　ㄑㄩㄢˇ　ㄈㄟˋ　ㄖˋ,形容人少見多怪。,粵犬吠雪,見怪不怪,,主條成語
162,曲突徙薪,ㄑㄩ　ㄊㄨˊ　ㄒㄧˇ　ㄒㄧㄣ,比喻事先採取措施，以防止危險發生。,未雨綢繆、未焚徙薪、有備無患、防患未然,江心補漏、臨陣磨槍、臨渴掘井,徙薪曲突、枉突徙薪,主條成語
163,矯枉過正,ㄐㄧㄠˇ　ㄨㄤˇ　ㄍㄨㄛˋ　ㄓㄥˋ,糾正偏差超過適切程度，反而不符合中庸之道。,過猶不及,恰如其分、恰到好處,撟?過正、矯枉過中、矯枉過甚、矯枉過當、矯枉過直、矯過正,主條成語
164,吳牛喘月,ㄨˊ　ㄋㄧㄡˊ　ㄔㄨㄢˇ　ㄩㄝˋ,比喻人見到曾受其害的類似事物而過分驚懼害怕。＆形容天氣酷熱。,談虎色變、驚弓之鳥,處變不驚,喘月吳牛,主條成語
165,居安思危,ㄐㄩ　ㄢ　ㄙ　ㄨㄟˊ,處於安樂的時候，要想到危險可能隨時出現。,安不忘危,居安忘危、燕雀處堂,居安慮危、居逸思危、於安思危、處安思危,主條成語
166,賓至如歸,ㄅㄧㄣ　ㄓˋ　ㄖㄨˊ　ㄍㄨㄟ,形容主人招待周到親切，使客人感到滿意。,,,客至如歸,主條成語
167,不恥下問,ㄅㄨˋ　ㄔˇ　ㄒㄧㄚˋ　ㄨㄣˋ,不以向身分較低微或是學問較自己淺陋的人求教為羞恥。褒義。,虛懷若谷、詢於芻蕘,恥下問、師心自用,,主條成語
168,不可救藥,ㄅㄨˋ　ㄎㄜˇ　ㄐㄧㄡˋ　ㄧㄠˋ,病重無藥可醫治。＆比喻到了無法挽救的地步。,病入膏肓、不堪造就、朽木不可雕,藥到回春、藥到病除、醫到病癒、改過從善、浪子回頭、孺子可教,不可救療、無可救藥、莫可救藥,主條成語
169,河東獅吼,ㄏㄜˊ　ㄉㄨㄥ　ㄕ　ㄏㄡˇ,比喻妻子凶悍發威。,,,季常之懼,主條成語
170,開門見山,ㄎㄞ　ㄇㄣˊ　ㄐㄧㄢˋ　ㄕㄢ,一開門就見到山巒。＆比喻說話或寫文章直截了當，一開始就進入正題。,直截了當、單刀直入、開宗明義,拐彎抹角、閃爍其詞,,主條成語
171,手舞足蹈,ㄕㄡˇ　ㄨˇ　ㄗㄨˊ　ㄉㄠˋ,揮手舉足，舞動跳躍。＆形容高興到了極點。,喜不自勝、載歌載舞、興高采烈、歡欣鼓舞,怏怏不樂、垂頭喪氣、悶悶不樂、鬱鬱寡歡,足蹈手舞,主條成語
172,土崩瓦解,ㄊㄨˇ　ㄅㄥ　ㄨㄚˇ　ㄐㄧㄝˇ,形容土石崩塌、磚瓦破碎的情景。＆比喻澈底潰敗，不可收拾。,支離破碎、分崩離析、四分五裂,牢不可破、固若金湯、堅不可摧、堅如磐石,冰散瓦解、瓦解土崩,主條成語
173,愛屋及烏,ㄞˋ　ㄨ　ㄐㄧˊ　ㄨ,比喻愛一個人也連帶地關愛與他有關的一切。,,,屋烏推愛、推愛屋烏,主條成語
174,不脛而走,ㄅㄨˋ　ㄐㄧㄥˋ　ㄦˊ　ㄗㄡˇ　（變）　ㄅㄨˊ　ㄐㄧㄥˋ　ㄦˊ　ㄗㄡˇ,比喻事物不用推廣，也能迅速傳播。,,秘而不宣,不脛而馳、無脛而至、無脛而行、無脛而走,主條成語
175,大義滅親,ㄉㄚˋ　ㄧˋ　ㄇㄧㄝˋ　ㄑㄧㄣ,比喻為了維護公理正義，不徇私情，滅了犯罪的親人，或讓他們接受法律制裁。褒義。,以義割恩,公報私仇,,主條成語
176,東施效顰,ㄉㄨㄥ　ㄕ　ㄒㄧㄠˋ　ㄆㄧㄣˊ,比喻盲目胡亂地模仿他人，結果卻適得其反。貶義。,生搬硬套、邯鄲學步,,東家效顰、東施捧心,主條成語
177,從善如流,ㄘㄨㄥˊ　ㄕㄢˋ　ㄖㄨˊ　ㄌㄧㄡˊ,比喻樂於接受別人好的意見。,從諫如流,固執己見、拒諫飾非、剛愎自用,從善若流、納善如流,主條成語
178,越俎代庖,ㄩㄝˋ　ㄗㄨˇ　ㄉㄞˋ　ㄆㄠˊ,比喻踰越職分代人辦事。,,不在其位、不謀其政、思不出位,代庖越俎、代越庖俎、越庖代俎,主條成語
179,水滴石穿,ㄕㄨㄟˇ　ㄉㄧ　ㄕˊ　ㄔㄨㄢ,滴水久了可使石穿。＆比喻持之以恆，事必有成。,心堅石穿、有志竟成、跬步千里、磨杵成針、鍥而不捨、繩鋸木斷,一暴十寒、三天打魚、兩天曬網、半途而廢,滴水石穿、滴水穿石,主條成語
180,袖手旁觀,ㄒㄧㄡˋ　ㄕㄡˇ　ㄆㄤˊ　ㄍㄨㄢ,形容置身事外，不予過問。,冷眼旁觀、坐視不救、作壁上觀、漠不關心、置身事外、隔岸觀火,打抱不平、見義勇為、拔刀相助,傍觀縮手、旁觀袖手、束手旁觀、縮手旁觀、袖手傍觀,主條成語
181,炙手可熱,ㄓˋ　ㄕㄡˇ　ㄎㄜˇ　ㄖㄜˋ,比喻地位尊貴，勢燄熾盛。＆比喻廣受歡迎，名聲極盛。,如日中天、勢燄熏天,乏人問津,勢可炙手、炙手之勢、炙手而熱、熱可炙手,主條成語
182,因噎廢食,ㄧㄣ　ㄧㄝ　ㄈㄟˋ　ㄕˊ,比喻曾經出過差錯，唯恐再錯而不去做該做的事。,矯枉過正,,以咽廢飧、因咽去食、懲噎廢食、見噎廢食,主條成語
183,因勢利導,ㄧㄣ　ㄕˋ　ㄌㄧˋ　ㄉㄠˇ,順著事物發展的趨勢，朝有利的方向引導。,順水推舟,逆水行舟、倒行逆施,因勢順導,主條成語
184,草菅人命,ㄘㄠˇ　ㄐㄧㄢ　ㄖㄣˊ　ㄇㄧㄥˋ,比喻輕視人命，任意加以殘害。貶義。,殘民以逞,人命關天、仁民愛物、悲天憫人、視民如傷、愛民如子,,主條成語
185,排難解紛,ㄆㄞˊ　ㄋㄢˋ　ㄐㄧㄝˇ　ㄈㄣ,指排除危難，解決紛爭。,,挑撥離間、推波助瀾,排患解紛、排難解急、解紛排難、銷難解紛,主條成語
186,畏首畏尾,ㄨㄟˋ　ㄕㄡˇ　ㄨㄟˋ　ㄨㄟˇ,形容疑慮顧忌，膽小怕事。,左顧右盼、畏葸不前、猶豫不決、縮手縮腳、瞻前顧後,一往直前、勇往直前、挺身而出、敢作敢為、無所畏懼,畏頭畏尾,主條成語
187,如魚得水,ㄖㄨˊ　ㄩˊ　ㄉㄜˊ　ㄕㄨㄟˇ,比喻得到與自己志同道合的人或適合於自己發展的環境。＆比喻兩人間情愛親密。,志同道合、意氣相投,格格不入、龍困淺灘,如魚似水、如魚在水、游魚得水、猶魚得水、猶魚有水、魚水相得,主條成語
188,流芳百世,ㄌㄧㄡˊ　ㄈㄤ　ㄅㄞˇ　ㄕˋ,美名流傳後世為人所稱頌。褒義。,永垂不朽、名垂青史、萬古留芳,遺臭萬年,流芳後世、流芳萬古、百世流芳,主條成語
189,眾志成城,ㄓㄨㄥˋ　ㄓˋ　ㄔㄥˊ　ㄔㄥˊ,比喻團結一致，同心協力。,眾擎易舉、萬眾一心,一盤散沙,眾心如城、眾心成城,主條成語
190,管中窺豹,ㄍㄨㄢˇ　ㄓㄨㄥ　ㄎㄨㄟ　ㄅㄠˋ,比喻所見甚小，未得全貌。,一孔之見、井蛙之見、坐井觀天、管窺蠡測、管窺虎、牖中窺日,見多識廣、高瞻遠矚,窺豹一斑,主條成語
191,南柯一夢,ㄋㄢˊ　ㄎㄜ　ㄧ　ㄇㄥˋ　（變）　ㄋㄢˊ　ㄎㄜ　ㄧˊ　ㄇㄥˋ,比喻人生如夢，富貴得失無常。,一場春夢、春夢無痕、黃粱一夢,,一夢南柯、一枕南柯、一枕槐安、一枕黃粱、南柯夢、夢裡南柯,主條成語
192,名不虛傳,ㄇㄧㄥˊ　ㄅㄨˋ　ㄒㄩ　ㄔㄨㄢˊ,名聲與實際相符，而非徒有虛名。褒義。,名下無虛、名副其實,名不副實、有名無實、名過其實、徒有其名,名不虛得、名不虛立、名不虛行,主條成語
193,束之高閣,ㄕㄨˋ　ㄓ　ㄍㄠ　ㄍㄜˊ,比喻棄置不用。,打落冷宮、置之不理、置之腦後,物盡其用,庋之高閣、束置高閣、束高閣、置之高閣,主條成語
194,喪心病狂,ㄙㄤˋ　ㄒㄧㄣ　ㄅㄧㄥˋ　ㄎㄨㄤˊ,形容人殘忍可惡到了極點。貶義。,喪盡天良、傷天害理,,病狂喪心、病風喪心,主條成語
195,見異思遷,ㄐㄧㄢˋ　ㄧˋ　ㄙ　ㄑㄧㄢ,比喻意志不堅定。貶義。,三心二意、心猿意馬,一心一意、全心全意、始終不渝、專心致志,見異而遷,主條成語
196,明察秋毫,ㄇㄧㄥˊ　ㄔㄚˊ　ㄑㄧㄡ　ㄏㄠˊ,比喻人能洞察一切，看到極細微的地方。,洞若觀火,如坐雲霧、霧裡看花,,主條成語
197,忍辱負重,ㄖㄣˇ　ㄖㄨˋ　ㄈㄨˋ　ㄓㄨㄥˋ,忍受屈辱怨謗而承擔重任。,含垢忍辱、忍氣吞聲、臥薪嘗膽,,,主條成語
